部門コード,部門名,勘定科目コード,勘定科目名,補助科目コード,補助科目名,前残,借方金額,貸方金額,残高
1207,東京支店保険,507,保険手数料,0065,自動車(東京),11035703,2388038,4238661,12886326
1207,東京支店保険,507,保険手数料,0066,新種(東京),49639547,0,7418526,57058073
1207,東京支店保険,507,保険手数料,0067,運送(東京),2212183,0,332202,2544385
1207,東京支店保険,507,保険手数料,0068,火災(東京),6155739,13000,289804,6432543
1207,東京支店保険,507,保険手数料,0069,がん(東京),6163002,863000,3939631,9239633
1207,東京支店保険,507,保険手数料,0071,ｸﾞﾙｰﾌﾟ(東京),1105334,0,230912,1336246
1207,東京支店保険,507,保険手数料,0072,傷害（東京）,1914137,273000,299939,1941076
1207,東京支店保険,507,保険手数料,0073,非幹事（東京）,3763031,0,304384,4067415
1207,東京支店保険,507,保険手数料,0074,事務費（東京）,7568902,0,1246025,8814927
1207,東京支店保険,507,保険手数料,,合計,89557578,3537038,18300084,104320624
1207,東京支店保険,507,保険手数料,,差額(科目 - 合計),,,,0
1209,東京支店旅行業,519,旅行売上,5026,個人,29172278,103636,3183306,32251948
1209,東京支店旅行業,519,旅行売上,5050,概算計上,8689659,8689659,0,0
1209,東京支店旅行業,519,旅行売上,9040,ｵﾘﾝﾊﾟｽｻﾎﾟｰﾄﾒｲﾄ,125426,0,0,125426
1209,東京支店旅行業,519,旅行売上,9042,ｵﾘﾝﾊﾟｽﾒﾓﾘｰ,2093273,0,447327,2540600
1209,東京支店旅行業,519,旅行売上,9043,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｻｲ,18516556,0,2129354,20645910
1209,東京支店旅行業,519,旅行売上,9049,長野ｵﾘﾝﾊﾟｽ,50972,0,0,50972
1209,東京支店旅行業,519,旅行売上,9101,ｵﾘﾝﾊﾟｽ,253564389,0,32297078,285861467
1209,東京支店旅行業,519,旅行売上,9103,会津ｵﾘﾝﾊﾟｽ,100603,0,20468,121071
1209,東京支店旅行業,519,旅行売上,9104,白河ｵﾘﾝﾊﾟｽ,15166242,0,2191089,17357331
1209,東京支店旅行業,519,旅行売上,9105,青森ｵﾘﾝﾊﾟｽ,98240,0,0,98240
1209,東京支店旅行業,519,旅行売上,9115,ｵﾘﾝﾊﾟｽｼｽﾃﾑｽﾞ,120139,0,0,120139
